peak-weighted0.5, 458, 866, 171, 0.197459584295612, 0.37336244541484714, 0.2583081570996979
peak-weighted0.55, 458, 654, 167, 0.25535168195718655, 0.3646288209606987, 0.3003597122302158
peak-weighted0.60, 458, 521, 142, 0.272552783109405, 0.31004366812227074, 0.2900919305413688
peak-weighted0.65, 458, 245, 68, 0.27755102040816326, 0.14847161572052403, 0.19345661450924612
peak-weighted0.70, 458, 52, 18, 0.34615384615384615, 0.039301310043668124, 0.07058823529411766
end-weighted0.5 (910), 458, 757, 132, 0.17437252311756934, 0.28820960698689957, 0.21728395061728392
end-weighted0.55 (822), 458, 565, 126, 0.22300884955752212, 0.27510917030567683, 0.24633431085043989
end-weighted0.60 (667), 458, 396, 92, 0.23232323232323232, 0.20087336244541484, 0.21545667447306793
end-weighted0.65 (401), 458, 162, 38, 0.2345679012345679, 0.08296943231441048, 0.12258064516129032
end-weighted0.70 (227), 458, 7, 1, 0.14285714285714285, 0.002183406113537118, 0.004301075268817203
uniform-weighted0.5 (936), 458, 983, 182, 0.18514750762970497, 0.39737991266375544, 0.25260235947258847
uniform-weighted0.55 (866), 458, 708, 175, 0.24717514124293785, 0.38209606986899564, 0.3001715265866209
uniform-weighted0.60 (781), 458, 532, 147, 0.27631578947368424, 0.32096069868995636, 0.29696969696969705
uniform-weighted0.65 (594), 458, 303, 87, 0.2871287128712871, 0.18995633187772926, 0.228646517739816
uniform-weighted0.70 (326), 458, 92, 22, 0.2391304347826087, 0.048034934497816595, 0.08
peak-weighted0.5 (NO ANOVA FILTER), 458, 1428, 248, 0.17366946778711484, 0.5414847161572053, 0.2629904559915165
peak-weighted0.55 (NO ANOVA FILTER), 458, 1160, 242, 0.20862068965517241, 0.5283842794759825, 0.29913473423980225
peak-weighted0.60 (NO ANOVA FILTER), 458, 934, 204, 0.21841541755888652, 0.44541484716157204, 0.29310344827586204
peak-weighted0.65 (NO ANOVA FILTER), 458, 469, 108, 0.2302771855010661, 0.23580786026200873, 0.23300970873786406
peak-weighted0.70 (NO ANOVA FILTER), 458, 84, 25, 0.2976190476190476, 0.05458515283842795, 0.09225092250922508
end-weighted0.5 (NO ANOVA FILTER), 458, 1322, 214, 0.16187594553706505, 0.4672489082969432, 0.2404494382022472
end-weighted0.55 (NO ANOVA FILTER), 458, 1059, 208, 0.1964117091595845, 0.45414847161572053, 0.2742254449571523
end-weighted0.60 (NO ANOVA FILTER), 458, 765, 160, 0.20915032679738563, 0.34934497816593885, 0.26165167620605073
end-weighted0.65 (NO ANOVA FILTER), 458, 325, 63, 0.19384615384615383, 0.13755458515283842, 0.16091954022988503
end-weighted0.70 (NO ANOVA FILTER), 458, 12, 1, 0.08333333333333333, 0.002183406113537118, 0.004255319148936169
uniform-weighted0.5 (NO ANOVA FILTER), 458, 1575, 269, 0.1707936507936508, 0.5873362445414847, 0.26463354648303
uniform-weighted0.55 (NO ANOVA FILTER), 458, 1249, 261, 0.20896717373899118, 0.5698689956331878, 0.3057996485061511
uniform-weighted0.60 (NO ANOVA FILTER), 458, 1013, 223, 0.22013820335636722, 0.4868995633187773, 0.30319510537049627
uniform-weighted0.65 (NO ANOVA FILTER), 458, 636, 148, 0.23270440251572327, 0.3231441048034934, 0.2705667276051188
uniform-weighted0.70 (NO ANOVA FILTER), 458, 190, 41, 0.21578947368421053, 0.08951965065502183, 0.12654320987654322
Bagged0.55, 458, 580, 156, 0.2689655172413793, 0.3406113537117904, 0.30057803468208094
